
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Pt Time Type=Spine Branch,0,0,0,0,0,0,11,s,Point,,,0,,,,,1,Spine Branch,
Pt Time Index Type=Dendrite Beginning,1,1,1,0,1,1,1,,Point,,,0,,,,,1,Dendrite Beginning,
Pt Time Index Type=Dendrite Terminal,1,1,1,0,1,1,1,,Point,,,0,,,,,1,Dendrite Terminal,
Pt Time Index Type=Spine Attachment,1,1,1,0,1,30,30,,Point,,,0,,,,,1,Spine Attachment,
Pt Time Index Type=Spine Terminal,1,1,1,0,1,44,44,,Point,,,0,,,,,1,Spine Terminal,
Pt Time Index Type=Spine Branch,1,1,1,0,1,11,11,,Point,,,0,,,,,1,Spine Branch,
Spine Area,0.989416,6.32199,3.47407,1.51922,3.37252,191.074,55,um^2,Spine,,,0,,,1,,1,,
Spine Attachment Pt Branching Angle,10.5622,97.0174,58.9952,23.3778,63.4689,2831.77,48,°,Spine,,,0,,,1,,1,,
Spine Attachment Pt Diameter,0.675442,1.53034,1.04891,0.210699,1.00072,57.6901,55,um,Spine,,,0,,,1,,1,,
Spine Attachment Pt Distance,0.330554,53.8828,22.0826,16.5445,15.8878,1214.54,55,um,Spine,,,0,,,1,,1,,
Spine Attachment Pt Distance from Origin,51.6997,99.3296,74.8462,14.2647,76.2335,2245.39,30,um,Spine,,Spine Attachment Pt Distance from Origin,0,,,1,,1,,
Spine Attachment Pt Generation,0,0,0,0,0,0,30,,Spine,,,0,,,1,,1,,
Spine Attachment Pt Position X,40.1453,72.2358,55.2829,9.27735,54.7896,1658.49,30,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Position Y,29.4158,67.7699,49.2162,11.9199,52.0405,1476.49,30,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Position Z,6.71063,13.9975,9.67625,2.28467,10.5338,290.288,30,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Time,0,0,0,0,0,0,30,s,Spine,,,0,,,1,,1,,
Spine Attachment Pt Time Index,1,1,1,0,1,30,30,,Spine,,,0,,,1,,1,,
Spine Branch Depth,0,0,0,0,0,0,55,,Spine,,,0,,,1,,1,,
Spine Branch Level,1,1,1,0,1,55,55,,Spine,,,0,,,1,,1,,
Spine Branchings,0,2,0.218182,0.454909,0,12,55,,Spine,,,0,,,1,,1,,
Spine Length,0.143154,2.86799,1.24328,0.726465,1.18103,68.3802,55,um,Spine,,,0,,,1,,1,,
Spine Max Diameter,0.675442,1.53034,1.15415,0.197528,1.13072,63.4784,55,um,Spine,,,0,,,1,,1,,
Spine Mean Diameter,0.471098,1.45279,0.92635,0.229851,0.89773,50.9493,55,um,Spine,,,0,,,1,,1,,
Spine Min Diameter,0.35,1.34608,0.738056,0.278845,0.746237,40.5931,55,um,Spine,,,0,,,1,,1,,
Spine Neck Length,0,1.8327,0.39682,0.530958,0.156626,21.8251,55,um,Spine,,,0,,,1,,1,,
Spine Neck Max Diameter,0,1.34685,0.511979,0.450233,0.570133,28.1588,55,um,Spine,,,0,,,1,,1,,
Spine Neck Mean Diameter,0,1.31253,0.432212,0.401289,0.443198,23.7717,55,um,Spine,,,0,,,1,,1,,
Spine Neck Min Diameter,0,1.27821,0.385718,0.384957,0.35,21.2145,55,um,Spine,,,0,,,1,,1,,
Spine Neck Volume,0,0.963274,0.263722,0.255205,0.191338,14.5047,55,um^3,Spine,,,0,,,1,,1,,
Spine Orientation Angle,-137.134,176.56,26.8699,99.4228,-21.2739,1477.84,55,°,Spine,,,0,,,1,,1,,
Spine Part Length Ground,0,1.23139,0.244953,0.293676,0.128682,13.4724,55,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Length Head,0.347242,1.19237,0.668083,0.199903,0.633189,36.7446,55,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Length Neck,0,1.11427,0.375226,0.335364,0.298301,20.6374,55,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Max Diameter Ground,0.675442,1.53034,1.13312,0.195558,1.12299,62.3215,55,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Max Diameter Head,0.363888,1.53034,0.934182,0.226535,0.910896,51.38,55,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Max Diameter Neck,0,1.41182,0.581536,0.443963,0.641876,31.9845,55,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Mean Diameter Ground,0.552638,1.50615,1.01479,0.205451,1.01699,55.8136,55,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Mean Diameter Head,0.355787,1.53034,0.891328,0.229184,0.868623,49.023,55,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Mean Diameter Neck,0,1.41182,0.540864,0.435132,0.481392,29.7475,55,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Min Diameter Ground,0.35,1.48196,0.884877,0.268924,0.920567,48.6682,55,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Min Diameter Head,0.35,1.53034,0.84265,0.249277,0.826828,46.3458,55,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Min Diameter Neck,0,1.41182,0.513069,0.43168,0.409981,28.2188,55,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Volume Ground,0,1.29825,0.25531,0.241539,0.225179,14.0421,55,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Part Volume Head,0.0442163,0.938277,0.342204,0.195469,0.32146,18.8212,55,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Part Volume Neck,0,0.938089,0.154349,0.169449,0.11769,8.48917,55,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Position X,39.751,72.1184,58.9074,10.1895,61.799,3239.91,55,um,Spine,,Spine Position,0,,,1,,1,,
Spine Position Y,29.5805,67.9191,52.7774,12.0434,57.4588,2902.76,55,um,Spine,,Spine Position,0,,,1,,1,,
Spine Position Z,4.9211,13.8764,8.67794,2.70759,7.58613,477.287,55,um,Spine,,Spine Position,0,,,1,,1,,
Spine Resistance,0.133497,14.4659,3.54825,3.8204,1.73668,195.154,55,1/um,Spine,,,0,,,1,,1,,
Spine Straightness,0.837197,1,0.94881,0.0429083,0.957226,52.1846,55,,Spine,,,0,,,1,,1,,
Spine Terminal Pt Diameter,0.363888,1.53034,0.911424,0.232734,0.88665,50.1283,55,um,Spine,,,0,,,1,,1,,
Spine Terminal Pt Distance,1.03184,55.0204,23.3946,16.6593,16.8908,1286.71,55,um,Spine,,,0,,,1,,1,,
Spine Terminal Pt Distance from Origin,51.1227,99.4191,77.9569,14.9184,83.0699,3430.1,44,um,Spine,,Spine Terminal Pt Distance from Origin,0,,,1,,1,,
Spine Terminal Pt Generation,0,0,0,0,0,0,44,,Spine,,,0,,,1,,1,,
Spine Terminal Pt Intensity Center,858,4095,2183.32,922.781,2039,96066,44,,Spine,1,,0,,Image 1,,,1,,
Spine Terminal Pt Position X,39.1322,71.9022,57.5528,10.1554,59.9991,2532.32,44,um,Spine,,Spine Terminal Pt Position,0,,,1,,1,,
Spine Terminal Pt Position Y,29.8319,68.2553,51.4182,12.1216,55.8374,2262.4,44,um,Spine,,Spine Terminal Pt Position,0,,,1,,1,,
Spine Terminal Pt Position Z,4.13771,14.0922,9.22236,2.92516,9.3741,405.784,44,um,Spine,,Spine Terminal Pt Position,0,,,1,,1,,
Spine Terminal Pt Time,0,0,0,0,0,0,44,s,Spine,,,0,,,1,,1,,
Spine Terminal Pt Time Index,1,1,1,0,1,44,44,,Spine,,,0,,,1,,1,,
Spine Terminal Pt Volume,0.0252291,1.87655,0.476655,0.380011,0.364969,26.216,55,um^3,Spine,,,0,,,1,,1,,
Spine Time,0,0,0,0,0,0,55,s,Spine,,,0,,,1,,1,,
Spine Time Index,1,1,1,0,1,55,55,,Spine,,,0,,,1,,1,,
Spine Volume,0.0824474,1.62685,0.665722,0.362156,0.647868,36.6147,55,um^3,Spine,,,0,,,1,,1,,
