
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,3104,3104,3104,0,3104,3104,1,,Filament,,,,,,,,1,,
Filament Position X,84.2134,84.2134,84.2134,0,84.2134,84.2134,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Y,68.9823,68.9823,68.9823,0,68.9823,68.9823,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Z,4.73579,4.73579,4.73579,0.0008752,4.73579,4.73579,1,um,Filament,,Filament Position,,,,,,1,,
Filament Spine Area (sum),407.091,407.091,407.091,0,407.091,407.091,1,um^2,Filament,,,,,,,,1,,
Filament Spine Length (sum),212.696,212.696,212.696,0,212.696,212.696,1,um,Filament,,,,,,,,1,,
Filament Spine Volume (sum),69.5492,69.5492,69.5492,0,69.5492,69.5492,1,um^3,Filament,,,,,,,,1,,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Volume (sum),148.776,148.776,148.776,0.0290255,148.776,148.776,1,um^3,Filament,,,,,,,,1,,
Pt Branching Angle Type=Spine Attachment,40.7191,91.0323,74.0933,12.9651,76.0533,1407.77,19,°,Point,,,0,,,,,1,Spine Attachment,
Pt Diameter Type=Dendrite Beginning,0.299364,0.299364,0.299364,2.74006e-05,0.299364,0.299364,1,um,Point,,,0,,,,,1,Dendrite Beginning,
Pt Diameter Type=Spine Attachment,0.742242,1.8986,1.25769,0.270837,1.27931,37.7308,30,um,Point,,,0,,,,,1,Spine Attachment,
Pt Diameter Type=Dendrite Terminal,0.703624,0.703624,0.703624,2.65018e-05,0.703624,0.703624,1,um,Point,,,0,,,,,1,Dendrite Terminal,
Pt Diameter Type=Spine Terminal,0.361723,1.02686,0.691252,0.145495,0.659252,35.2539,51,um,Point,,,0,,,,,1,Spine Terminal,
Pt Distance Type=Dendrite Beginning,0,0,0,0,0,0,1,um,Point,,,0,,,,,1,Dendrite Beginning,
Pt Distance Type=Spine Attachment,1.79911,67.7923,23.8213,20.6706,18.8001,714.639,30,um,Point,,,0,,,,,1,Spine Attachment,
Pt Distance Type=Dendrite Terminal,71.1375,71.1375,71.1375,0,71.1375,71.1375,1,um,Point,,,0,,,,,1,Dendrite Terminal,
Pt Distance Type=Spine Terminal,3.13654,69.6469,24.8584,19.7275,18.3309,1267.78,51,um,Point,,,0,,,,,1,Spine Terminal,
Pt Distance from Origin Type=Dendrite Beginning,112.311,112.311,112.311,0,112.311,112.311,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Beginning,
Pt Distance from Origin Type=Dendrite Terminal,103.052,103.052,103.052,0.0163081,103.052,103.052,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Terminal,
Pt Distance from Origin Type=Spine Attachment,102.633,112.843,108.194,3.48284,109.053,3245.83,30,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Attachment,
Pt Distance from Origin Type=Spine Terminal,95.4412,121.677,110.37,6.22569,110.874,5628.88,51,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Terminal,
Pt Generation Type=Dendrite Beginning,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite Beginning,
Pt Generation Type=Dendrite Terminal,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite Terminal,
Pt Generation Type=Spine Attachment,0,0,0,0,0,0,30,,Point,,,0,,,,,1,Spine Attachment,
Pt Generation Type=Spine Terminal,0,0,0,0,0,0,51,,Point,,,0,,,,,1,Spine Terminal,
Pt Position X Type=Dendrite Beginning,72.6286,72.6286,72.6286,0,72.6286,72.6286,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
Pt Position X Type=Dendrite Terminal,100.178,100.178,100.178,0,100.178,100.178,1,um,Point,,Pt Position,0,,,,,1,Dendrite Terminal,
Pt Position X Type=Spine Attachment,74.1284,100.655,83.4728,8.31642,81.8377,2504.18,30,um,Point,,Pt Position,0,,,,,1,Spine Attachment,
Pt Position X Type=Spine Terminal,73.8469,103.015,83.6792,7.63557,81.3971,4267.64,51,um,Point,,Pt Position,0,,,,,1,Spine Terminal,
Pt Position Y Type=Dendrite Beginning,85.5606,85.5606,85.5606,0.00705874,85.5606,85.5606,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
Pt Position Y Type=Dendrite Terminal,23.6455,23.6455,23.6455,0,23.6455,23.6455,1,um,Point,,Pt Position,0,,,,,1,Dendrite Terminal,
Pt Position Y Type=Spine Attachment,26.8207,84.9745,65.7765,18.2404,73.127,1973.29,30,um,Point,,Pt Position,0,,,,,1,Spine Attachment,
Pt Position Y Type=Spine Terminal,26.7162,89.5601,69.1895,18.5888,78.2104,3528.67,51,um,Point,,Pt Position,0,,,,,1,Spine Terminal,
Pt Position Z Type=Dendrite Beginning,4.26353,4.26353,4.26353,0,4.26353,4.26353,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
Pt Position Z Type=Dendrite Terminal,5.00844,5.00844,5.00844,0,5.00844,5.00844,1,um,Point,,Pt Position,0,,,,,1,Dendrite Terminal,
Pt Position Z Type=Spine Attachment,4.21696,5.50843,4.67008,0.422977,4.86324,140.102,30,um,Point,,Pt Position,0,,,,,1,Spine Attachment,
Pt Position Z Type=Spine Terminal,3.80851,8.15045,5.12277,0.912688,4.87798,261.261,51,um,Point,,Pt Position,0,,,,,1,Spine Terminal,
Pt Time Type=Dendrite Beginning,0,0,0,0,0,0,1,s,Point,,,0,,,,,1,Dendrite Beginning,
Pt Time Type=Dendrite Terminal,0,0,0,0,0,0,1,s,Point,,,0,,,,,1,Dendrite Terminal,
Pt Time Type=Spine Attachment,0,0,0,0,0,0,30,s,Point,,,0,,,,,1,Spine Attachment,
Pt Time Type=Spine Terminal,0,0,0,0,0,0,51,s,Point,,,0,,,,,1,Spine Terminal,
Pt Time Index Type=Dendrite Beginning,1,1,1,0,1,1,1,,Point,,,0,,,,,1,Dendrite Beginning,
Pt Time Index Type=Dendrite Terminal,1,1,1,0,1,1,1,,Point,,,0,,,,,1,Dendrite Terminal,
Pt Time Index Type=Spine Attachment,1,1,1,0,1,30,30,,Point,,,0,,,,,1,Spine Attachment,
Pt Time Index Type=Spine Terminal,1,1,1,0,1,51,51,,Point,,,0,,,,,1,Spine Terminal,
Spine Area,0.597759,34.0816,7.98217,7.98649,4.03246,407.091,51,um^2,Spine,,,0,,,1,,1,,
Spine Attachment Pt Branching Angle,40.7191,91.0323,74.0933,12.9651,76.0533,1407.77,19,°,Spine,,,0,,,1,,1,,
Spine Attachment Pt Diameter,0.742242,1.8986,1.29247,0.23486,1.33092,65.9158,51,um,Spine,,,0,,,1,,1,,
Spine Attachment Pt Distance,1.79911,67.7923,20.3873,19.6751,9.5674,1039.75,51,um,Spine,,,0,,,1,,1,,
Spine Attachment Pt Distance from Origin,102.633,112.843,108.194,3.48284,109.053,3245.83,30,um,Spine,,Spine Attachment Pt Distance from Origin,0,,,1,,1,,
Spine Attachment Pt Generation,0,0,0,0,0,0,30,,Spine,,,0,,,1,,1,,
Spine Attachment Pt Position X,74.1284,100.655,83.4728,8.31642,81.8377,2504.18,30,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Position Y,26.8207,84.9745,65.7765,18.2404,73.127,1973.29,30,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Position Z,4.21696,5.50843,4.67008,0.422977,4.86324,140.102,30,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Time,0,0,0,0,0,0,30,s,Spine,,,0,,,1,,1,,
Spine Attachment Pt Time Index,1,1,1,0,1,30,30,,Spine,,,0,,,1,,1,,
Spine Branch Depth,0,0,0,0,0,0,51,,Spine,,,0,,,1,,1,,
Spine Branch Level,1,1,1,0,1,51,51,,Spine,,,0,,,1,,1,,
Spine Branchings,0,0,0,0,0,0,51,,Spine,,,0,,,1,,1,,
Spine Length,0.32276,14.767,4.17052,4.26203,1.81597,212.696,51,um,Spine,,,0,,,1,,1,,
Spine Max Diameter,1.0121,1.8986,1.37851,0.184718,1.36063,70.3042,51,um,Spine,,,0,,,1,,1,,
Spine Mean Diameter,0.468314,1.26337,0.787465,0.202798,0.710613,40.1607,51,um,Spine,,,0,,,1,,1,,
Spine Min Diameter,0.2,1.0173,0.422588,0.246923,0.267902,21.552,51,um,Spine,,,0,,,1,,1,,
Spine Neck Length,0,13.7124,3.36357,4.14842,1.16631,171.542,51,um,Spine,,,0,,,1,,1,,
Spine Neck Max Diameter,0,1.6219,0.798883,0.492134,1.02855,40.743,51,um,Spine,,,0,,,1,,1,,
Spine Neck Mean Diameter,0,1.49165,0.514711,0.370598,0.498646,26.2503,51,um,Spine,,,0,,,1,,1,,
Spine Neck Min Diameter,0,1.49165,0.324121,0.354682,0.2,16.5302,51,um,Spine,,,0,,,1,,1,,
Spine Neck Volume,0,6.63223,1.17329,1.38607,0.481618,59.8379,51,um^3,Spine,,,0,,,1,,1,,
Spine Orientation Angle,-177.945,178.065,-31.9916,92.2106,1.61692,-1631.57,51,°,Spine,,,0,,,1,,1,,
Spine Part Length Ground,0,3.36174,0.689305,0.942145,0.163424,35.1546,51,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Length Head,0.37748,4.35925,1.46861,1.14769,0.848536,74.8991,51,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Length Neck,0,7.22482,2.05871,2.19241,0.980929,104.994,51,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Max Diameter Ground,1.0121,1.8986,1.37058,0.187094,1.36063,69.8998,51,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Max Diameter Head,0.479426,1.32772,0.825875,0.196695,0.801388,42.1196,51,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Max Diameter Neck,0,1.55317,0.932999,0.274338,0.938732,47.583,51,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Mean Diameter Ground,0.403581,1.51466,1.01012,0.249499,1.02898,51.5163,51,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Mean Diameter Head,0.37808,1.09065,0.678402,0.163506,0.648499,34.5985,51,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Mean Diameter Neck,0,1.42935,0.680991,0.308772,0.582744,34.7305,51,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Min Diameter Ground,0.2,1.31465,0.72984,0.336771,0.79559,37.2218,51,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Min Diameter Head,0.2,1.02686,0.534365,0.1992,0.564322,27.2526,51,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Min Diameter Neck,0,1.28116,0.506422,0.358359,0.271904,25.8275,51,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Volume Ground,0,1.71571,0.434837,0.535523,0.170705,22.1767,51,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Part Volume Head,0.0890837,2.2815,0.514512,0.502146,0.255902,26.2401,51,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Part Volume Neck,0,3.40287,0.638694,0.686733,0.296309,32.5734,51,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Position X,74.1888,101.871,82.9582,7.46988,81.269,4230.87,51,um,Spine,,Spine Position,0,,,1,,1,,
Spine Position Y,26.6725,85.8194,68.9718,17.9181,78.3748,3517.56,51,um,Spine,,Spine Position,0,,,1,,1,,
Spine Position Z,3.99903,6.24073,4.7217,0.479392,4.58519,240.807,51,um,Spine,,Spine Position,0,,,1,,1,,
Spine Resistance,0.83083,164.87,36.3234,49.3094,11.9026,1852.49,51,1/um,Spine,,,0,,,1,,1,,
Spine Straightness,0.637911,0.998195,0.858946,0.0884337,0.873391,43.8063,51,,Spine,,,0,,,1,,1,,
Spine Terminal Pt Diameter,0.361723,1.02686,0.691252,0.145495,0.659252,35.2539,51,um,Spine,,,0,,,1,,1,,
Spine Terminal Pt Distance,3.13654,69.6469,24.8584,19.7275,18.3309,1267.78,51,um,Spine,,,0,,,1,,1,,
Spine Terminal Pt Distance from Origin,95.4412,121.677,110.37,6.22569,110.874,5628.88,51,um,Spine,,Spine Terminal Pt Distance from Origin,0,,,1,,1,,
Spine Terminal Pt Generation,0,0,0,0,0,0,51,,Spine,,,0,,,1,,1,,
Spine Terminal Pt Intensity Center,692,4095,2578.37,988.646,2417,131497,51,,Spine,1,,0,,Image 1,,,1,,
Spine Terminal Pt Position X,73.8469,103.015,83.6792,7.63557,81.3971,4267.64,51,um,Spine,,Spine Terminal Pt Position,0,,,1,,1,,
Spine Terminal Pt Position Y,26.7162,89.5601,69.1895,18.5888,78.2104,3528.67,51,um,Spine,,Spine Terminal Pt Position,0,,,1,,1,,
Spine Terminal Pt Position Z,3.80851,8.15045,5.12277,0.912688,4.87798,261.261,51,um,Spine,,Spine Terminal Pt Position,0,,,1,,1,,
Spine Terminal Pt Time,0,0,0,0,0,0,51,s,Spine,,,0,,,1,,1,,
Spine Terminal Pt Time Index,1,1,1,0,1,51,51,,Spine,,,0,,,1,,1,,
Spine Terminal Pt Volume,0.0247815,0.566941,0.196609,0.126947,0.150021,10.0271,51,um^3,Spine,,,0,,,1,,1,,
Spine Time,0,0,0,0,0,0,51,s,Spine,,,0,,,1,,1,,
Spine Time Index,1,1,1,0,1,51,51,,Spine,,,0,,,1,,1,,
Spine Volume,0.061444,6.92652,1.36371,1.44373,0.655494,69.5492,51,um^3,Spine,,,0,,,1,,1,,
